,index,Ebook ID,Author,Title,Credits,Summary,Language,Library of Congress Classification,Category,EBook-No.,Release Date,Most Recently Updated,Copyright Status,Downloads,Subjects
345,364,370,"Defoe, Daniel, 1661?-1731",The Fortunes and Misfortunes of the Famous Moll Flanders,,"""The Fortunes and Misfortunes of the Famous Moll Flanders"" by Daniel Defoe is a novel written in the early 18th century. The story chronicles the life of Moll Flanders, who is introduced as a complex character born in the Newgate Prison, experiencing a life filled with dramatic turns, including themes of crime, love, and redemption, as she navigates through her tumultuous existence marked by various relationships and struggles.  At the start of the novel, Moll provides a glimpse into her troubled beginnings, having been born to a mother convicted of theft. She recounts her early experiences, detailing how she was left in the care of a nurse, who raised her with care, despite their poverty. Moll's childhood is filled with her grappling with her status and aspirations, longing to be a ""gentlewoman"" instead of a servant, reflecting her desire to rise above her circumstances. As she begins to develop into a young woman, her innate beauty and charm draw the attention of powerful men, setting the stage for her eventual entanglements in both romance and moral dilemmas. The opening sets the tone for a rich exploration of her character as she prepares to confront a life filled with both fortunes and misfortunes. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,370,"Dec 1, 1995","Feb 18, 2023",Public domain in the USA.,844 downloads in the last 30 days.,"London (England) -- Fiction, Picaresque literature, Adventure stories, Virginia -- Fiction"
346,365,371,"Wheatley, Henry B. (Henry Benjamin), 1838-1917","Literary Blunders: A Chapter in the ""History of Human Error""",Produced by Charles Keller,"""Literary Blunders: A Chapter in the 'History of Human Error'"" by Henry B. Wheatley is a historical account likely written in the late 19th century. The book explores the various types of blunders made in literature, examining the effects of errors in writing and translation, as well as the unique character of common misunderstandings in language. Wheatley aims to shed light on the amusing and sometimes serious consequences of these mistakes while celebrating the quirks of literary history.  The opening of the work serves as a preface, setting the stage for the discussion of literary blunders by referencing Augustine Caxton's unrealized ""History of Human Error."" Wheatley introduces the concept of blunders versus mistakes, suggesting that blunders often originate from mental confusion and can be light-hearted despite their serious origins. The author indicates that the subsequent chapters will cover various examples, including ghost words, misprints, errata, and the unintentional twists of language that give birth to mistakenly attributed literary tales. This engaging introduction promises a blend of humor and academic analysis, inviting readers to explore the rich tapestry of human oversight in the literary world. (This is an automatically generated summary.)",English,"PN: Language and Literatures: Literature: General, Criticism, Collections",Text,371,"Dec 1, 1995","Mar 22, 2012",Public domain in the USA.,81 downloads in the last 30 days.,"Errors and blunders, Literary"
347,366,372,"Stevenson, Robert Louis, 1850-1894","Prince Otto, a Romance",Transcribed from the 1905 edition by David Price,"“Prince Otto, a Romance” by Robert Louis Stevenson is a novel written in the late 19th century. The story revolves around Prince Otto Johann Friedrich of the fictitious principality of Grunewald, whose character is depicted as flawed and largely incompetent in his royal duties. The narrative unfolds in a richly described European landscape, exploring themes of love, political intrigue, and the responsibilities that come with power.  At the start of the novel, we are introduced to the setting of Grunewald and the troubled character of Prince Otto, who is seen engaging in a hunt—an activity emblematic of his frivolous lifestyle. The opening chapters depict Otto's tumultuous relationship with his subjects and the displeasure they harbor towards him, especially concerning his wife’s rumored indiscretions and his own lack of accountability. The reader is also presented with a hint of political unrest, as discussions of revolution and discontent amongst the populace weigh heavily on the prince's mind. Stevenson crafts a narrative that promises both adventure and introspection as we follow Otto's journey to reconcile his personal failings and his public image against the backdrop of a shifting political landscape. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,372,"Dec 1, 1995","Sep 3, 2010",Public domain in the USA.,127 downloads in the last 30 days.,"Nobility -- Fiction, Man-woman relationships -- Fiction"
348,367,373,"Stevenson, Robert Louis, 1850-1894","Lay Morals, and Other Papers",Transcribed from the Chatto and Windus 1911 edition by David Price,"""Lay Morals and Other Papers"" by Robert Louis Stevenson is a collection of reflective essays written during the late 19th century. The work encompasses Stevenson's thoughts on ethics, education, and the complexities of moral conduct, particularly in relation to societal expectations and personal integrity. It serves as a philosophical exploration of human behavior and the moral struggles individuals face as they navigate life.  The opening of the collection begins with a preface by Stevenson’s wife, which recounts their experiences on their yacht and touches on themes of compassion towards those suffering from leprosy, highlighting the moral courage of Father Damien, a priest dedicated to caring for the afflicted. This introduction sets the tone for Stevenson's subsequent essays, where he contemplates the nature of education, the limits of written words in conveying truth, and the inherent complexities of morality. Stevenson critiques societal and religious teachings, suggesting they often fall short of addressing the deeper moral questions of life, while advocating for a more personal and introspective approach to ethics and morality. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,373,"Dec 1, 1995","Oct 20, 2010",Public domain in the USA.,118 downloads in the last 30 days.,"Essays, Short stories"
349,368,374,"Bierce, Ambrose, 1842-1914?",Fantastic Fables,Transcribed from the 1899 G. P. Putnam's Sons edition by David Price,"""Fantastic Fables"" by Ambrose Bierce is a collection of satirical fables written during the late 19th century. The book presents a series of whimsical stories that creatively critique various aspects of society, including politics, morality, and human behavior. Each fable incorporates elements of humor and irony, featuring characters and scenarios that reflect Bierce's sharp wit and cynicism.  At the start of the collection, the opening fables introduce readers to a range of characters, including Moral Principle and Material Interest, who face off in amusing and philosophic exchanges. Bierce deftly establishes a tone of clever absurdity, illustrating the struggle between ideals and practicality through dialogues that reveal the hypocrisy and ineptitude of societal constructs. The fables proceed to weave together elements of human folly, highlighting the ludicrousness of certain situations, such as a dying man asking for a promise regarding a mystical crimson candle and various politicians and common citizens caught in ridiculous predicaments. Each story serves not just as entertainment, but as a reflective commentary on the complexities and absurdities of life in Bierce's time. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,374,"Dec 1, 1995","Jan 17, 2007",Public domain in the USA.,121 downloads in the last 30 days.,"Wit and humor, Fables, American"
350,369,375,"Bierce, Ambrose, 1842-1914?",An Occurrence at Owl Creek Bridge,,"""An Occurrence at Owl Creek Bridge"" by Ambrose Bierce is a short story written in the late 19th century, during the American Civil War era. The narrative delves into themes of time, perception, and the human experience of death. It portrays the moments leading up to an execution, examining both the protagonist’s thoughts and the stark reality of his fate.  The story follows Peyton Farquhar, a Southern planter who is condemned to be hanged by Union soldiers for attempting to sabotage a railroad bridge. As he stands upon the bridge, thoughts of escape flood his mind, and he fantasizes about evading his captors and reuniting with his family. In a dramatic turn, he falls into the river below during his execution. What follows is a vivid and surreal escape sequence as he struggles against the odds, perceiving the world with heightened clarity. However, in a shocking conclusion, it is revealed that Farquhar never escaped; his journey was merely a final, imaginative flight of consciousness before death claimed him at the bridge. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,375,"Dec 1, 1995","Apr 25, 2022",Public domain in the USA.,3669 downloads in the last 30 days.,"Short stories, United States -- History -- Civil War, 1861-1865 -- Fiction, Prisoners -- Fiction"
351,370,376,"Defoe, Daniel, 1661?-1731","A Journal of the Plague YearBeing Observations or Memorials of the Most Remarkable Occurrences, as Well Public as Private, Which Happened in London During the Last Great Visitation in 1665. Written by a Citizen Who Continued All the While in London",Tokuya Matsumoto and David Widger,"""A Journal of the Plague Year"" by Daniel Defoe is a historical account written in the early 18th century that provides vivid observations of the events and societal responses to the Great Plague of London in 1665. The narrative is framed as the personal chronicle of a citizen who experiences the epidemic firsthand, depicting the ferocity of the disease, the reactions of the populace, and the overarching atmosphere of fear and uncertainty.  At the start of the narrative, the author introduces the reader to the initial rumblings of the plague's return, beginning with rumors emanating from Holland in September 1664. Following the reporting of plague deaths in London, the sense of dread begins to grip the community as various parishes start to report an increase in burials. The narrative intricately chronicles the confusion and fears surrounding the plague, detailing both the government's attempts to manage the situation and the chaotic responses from the general populace, including self-preservation tactics, superstitions, and frantic attempts to escape the city, setting the stage for a detailed unfolding of the calamity that follows. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,376,"Jan 16, 2006","Jun 24, 2023",Public domain in the USA.,2300 downloads in the last 30 days.,"Historical fiction, Great Fire, London, England, 1666 -- Fiction, Plague -- Fiction, London (England) -- History -- 17th century -- Fiction"
352,371,377,"Barker, Nettie Garmer, 1882-1953",Kansas Women in Literature,"Produced by Mike Lough, and David Widger","""Kansas Women in Literature"" by Nettie Garmer Barker is a collection of biographical sketches written during the early 20th century. This book highlights the contributions of various Kansas women writers, poets, and educators, celebrating their literary achievements and social impacts. It likely focuses on themes of empowerment and the cultural significance of women's voices in the literary landscape of Kansas.  The book features a wide array of notable figures such as Effie Graham, known for her engaging teaching methods and writings; Esther M. Clark, celebrated for her evocative poetry about Kansas; and Margaret Hill McCarter, one of the most financially successful women writers of her time. Each chapter offers insight into the lives of these women, detailing their origins, achievements, and the challenges they faced in a male-dominated society. Through anecdotes and excerpts from their works, Barker illustrates the rich literary heritage that these women have fostered, emphasizing their vital roles in shaping Kansas's identity and culture. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,377,"Jul 9, 2008","Jan 30, 2013",Public domain in the USA.,71 downloads in the last 30 days.,"Women authors, American -- Homes and haunts -- Kansas, Women -- Kansas -- Intellectual life, Kansas -- Biography, Kansas -- In literature"
353,372,378,"Galba, Martí Joan de, -1490",The White Knight: Tirant Lo Blanc,Produced by Robert S. Rudder,"""The White Knight: Tirant Lo Blanc"" by Joanot Martorell and Martí Joan de Galba is a historical novel written during the late 15th century. The narrative unfolds in a rich tapestry of chivalric adventures, courtly love, and battles, centering around the valiant knight Tirant lo Blanc, who is set on a heroic path to win glory and the heart of his lady while navigating the conflicts of Moorish invasions in England.  The opening of the novel introduces Count William of Warwick, a seasoned knight, who embarks on a pilgrimage to Jerusalem after a life of warfare. Through an emotional farewell to his wife and son, he leaves behind his worldly life. His journey takes a turn when he returns to England disguised as a hermit after faking his own death, only to find his homeland under threat from Moorish forces. The countess and the king seek refuge in Warwick as the invading Moors plunder the land. The tone is established as one that honors chivalric values, presenting a compelling backdrop for the eventual emergence of Tirant lo Blanc, who is poised to take on the mantle of heroism in this rich narrative of love, sacrifice, and valor. (This is an automatically generated summary.)",English,"PC: Language and Literatures: Romance languages: Italian, French, Spanish, Portuguese",Text,378,"Dec 1, 1995","Jul 25, 2018",Copyrighted. Read the copyright notice inside this book for details.,152 downloads in the last 30 days.,"Knights and knighthood -- Fiction, Adventure and adventurers -- Fiction, Adventure stories"
354,373,379,"Gregory, Eliot, 1854-1915",Worldly Ways & Byways,Transcribed from the 1899 Charles Scribner's Sons edition by David Price,"""Worldly Ways & Byways"" by Eliot Gregory is a collection of essays written in the late 19th century that humorously explores the intricacies of social behavior and cultural norms in American society. The text touches upon various themes, including the roles of charm and the evolving expectations of women, the peculiarities of American manners, and the engage-and-reengage dynamics of social interactions. Through light, philosophical musings, Gregory illustrates the absurdities and contradictions present in contemporary social life.  The opening of ""Worldly Ways & Byways"" presents a reflection on social customs, particularly focusing on the nature of charm and the transformations in societal expectations for women. Gregory begins by discussing the historic Pele Mele—a custom in which rank is not recognized—and draws parallels to modern society, portraying it as a perpetual competition for social standing. He highlights how charm, often overlooked in the modern woman, plays a crucial role in social interactions, lamenting that contemporary behaviors might detract from the enduring allure and influence of femininity. The author invites readers to consider deep questions surrounding identity and social expectations, setting the stage for a witty and insightful examination of American cultural life at the turn of the 20th century. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,379,"Dec 1, 1995","Apr 5, 2007",Public domain in the USA.,58 downloads in the last 30 days.,American essays -- 19th century
355,374,380,"Stevenson, Robert Louis, 1850-1894",Weir of Hermiston: An Unfinished Romance,Transcribed from the 1913 Chatto and Windus edition by David Price,"""Weir of Hermiston: An Unfinished Romance"" by Robert Louis Stevenson is a novel likely written in the late 19th century. The story unfolds in a Scottish moorland setting, focusing on themes of familial duty, social morality, and the contrasts between the characters' inner lives and their public personas. The central characters include Lord Justice-Clerk Adam Weir, his frail wife Jean, and their son Archie, whose evolving perspectives on justice, compassion, and authority lay the groundwork for the narrative.  At the start of the book, the narrative introduces the tumultuous backdrop of the Weir family, revealing Jean's lineage and Adam Weir's authoritative but unloving nature. The opening chapters depict the strained dynamics of their marriage, characterized by Jean's meekness clashing with Adam's brusque demeanor and staunch adherence to duty. Archie, their son, is caught in the crossfire of his parents' contrasting values. The story hints at Archie's struggle to forge his own identity and grapple with his father's harsh judgments, notably regarding issues of justice represented by Adam's role as a judge. As tensions build, particularly surrounding the moral implications of capital punishment, readers are invited into a story rich with conflict and emotional depth, setting the stage for Archie's eventual quest for reconciliation and self-discovery. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,380,"Dec 1, 1995","Nov 7, 2010",Public domain in the USA.,87 downloads in the last 30 days.,"Fathers and sons -- Fiction, Domestic fiction, Young men -- Fiction, Judges -- Fiction"
356,375,381,"Stevenson, Robert Louis, 1850-1894",Memories and Portraits,Transcribed from the 1912 Chatto and Windus edition by David Price,"""Memories and Portraits"" by Robert Louis Stevenson is a collection of autobiographical essays written in the early 20th century. This volume brings together reflections on both personal memories from his youth and sketches of various characters and places that have enriched his life, providing readers with a tapestry of nostalgia and insight into his formative years and the people who shaped them.  At the start of the book, Stevenson introduces the theme of immigration and cultural difference, reflecting on his experience as a Scot navigating the complexities of English society. He shares poignant and comedic observations about the English sense of superiority, their ignorance of other cultures, especially the Scottish, and the significance of language and regional identity. Through this lens, Stevenson also reminisces about his childhood memories and captures vivid encounters with individuals, such as a Scottish gardener and various college friends. This opening passage sets the tone for a deeply introspective journey through the joys and challenges of his formative experiences, revealing the interplay between the past and present as he reflects on personal and societal themes. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,381,"Dec 1, 1995","Oct 22, 2010",Public domain in the USA.,111 downloads in the last 30 days.,"Stevenson, Robert Louis, 1850-1894, Authors, Scottish -- 19th century -- Biography, Scotland -- Social life and customs -- 19th century"
357,376,382,"Stevenson, Robert Louis, 1850-1894",Edinburgh: Picturesque Notes,Transcribed from the 1903 Seeley & Co. Ltd. edition by David Price,"""Edinburgh: Picturesque Notes"" by Robert Louis Stevenson is a collection of essays written in the late 19th century. The work serves as a vivid exploration and personal reflection on the city of Edinburgh, as the author muses on its architecture, history, and the interplay between its natural and urban landscapes. Stevenson vividly describes the contrasts between the Old and New Towns and conveys his deep affection for the city's unique character.  The opening of the book sets the stage by presenting a poetic landscape of Edinburgh, painted with both admiration and critique. Stevenson portrays the city as ""one of the vilest climates under heaven,"" while simultaneously acknowledging its captivating beauty and peculiar charm. He discusses the significance of key landmarks like Holyrood Palace and recounts the memories embedded in its historical fabric. The narrative also introduces themes of social contrast, with reflections on the lives of the city's citizens against the backdrop of Edinburgh's gothic architecture and rich history, forming an engaging connection between place and people. (This is an automatically generated summary.)",English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe",Text,382,"Dec 1, 1995","Nov 5, 2010",Public domain in the USA.,138 downloads in the last 30 days.,Edinburgh (Scotland) -- Description and travel
358,377,383,"Goldsmith, Oliver, 1730?-1774","She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",G. R. Young and David Widger,"""She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy"" by Oliver Goldsmith is a comedic play written during the late 18th century. The plot revolves around a series of misunderstandings and mistaken identities, particularly focusing on the interactions between the characters Young Marlow, who is shy around respectable women, and Miss Hardcastle, who finds herself in the midst of a confusing courtship. This comedy of errors also features a variety of humorous and eccentric characters, including the mischievous Tony Lumpkin, who complicates matters with his pranks.  At the start of the play, we are introduced to Mr. and Mrs. Hardcastle, who discuss their son Tony and the arrival of a young gentleman, Mr. Marlow, whom they hope will be a suitable match for their daughter, Kate. However, it quickly becomes evident that Marlow's shyness with respectable women is a source of comedy as he approaches interactions awkwardly, unable to communicate properly. Meanwhile, Tony devises a scheme to trick his family and others, setting the stage for a night filled with humorous misunderstandings. As the characters navigate their relationships and the ensuing chaos, the play promises an entertaining exploration of social norms and romantic pursuits in a comedic light. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,383,"Dec 1, 1995","Jun 8, 2021",Public domain in the USA.,2399 downloads in the last 30 days.,Comedies
359,378,384,"Burnett, Frances Hodgson, 1849-1924",The Lost Prince,Produced by Charles Keller.  HTML version by Al Haines,"""The Lost Prince"" by Frances Hodgson Burnett is a novel written in the early 20th century. The story centers on Marco Loristan, a twelve-year-old boy who has lived a life of secrecy and travel alongside his father, Loristan, a patriot from a small, war-torn country called Samavia. As they settle in a gloomy part of London, Marco grapples with his identity and the yearning for his homeland while learning about the legend of the Lost Prince, Prince Ivor, who mysteriously vanished under dire circumstances five hundred years earlier.  The opening of “The Lost Prince” introduces readers to Marco's world, marked by his sense of isolation and his father's mysterious purpose. Recently relocated to London, Marco reflects on their life as exiles, bound by secrecy and patriotism. He shares a close bond with his father and their old soldier servant, Lazarus, who have instilled in him a sense of duty towards his homeland. As Marco navigates the bleak streets, he encounters The Rat, a hunchbacked boy who leads a group of street urchins with an interest in Samavia's struggles. Together, they explore the history of Prince Ivor, igniting dreams of a greater destiny tied to the vanished prince and Marco’s belief in a future where they might reclaim their rightful place. This strong theme of longing for home and identity sets the stage for an adventure that intertwines friendship, loyalty, and the quest for justice. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,384,"Jan 1, 1996","Jan 1, 2021",Public domain in the USA.,225 downloads in the last 30 days.,"People with disabilities -- Fiction, Fathers and sons -- Fiction, Princes -- Fiction, Refugees -- Fiction"
360,379,385,"Grey, Zane, 1872-1939","The Redheaded Outfield, and Other Baseball Stories",Produced by Charles Keller.  HTML version by Al Haines.,"""The Redheaded Outfield and Other Baseball Stories"" by Zane Grey is a collection of baseball-themed short stories likely written in the early 20th century. The work captures the excitement and chaos of minor league baseball, showcasing the quirks of a motley crew of players, with a focus on memorable characters such as the eccentric Red Gilbat and the talented Reddie Ray, alongside the complicated dynamics of teamwork and competition.  The opening of the first story introduces Delaney's baseball team, the Rochester Stars, and their unusual trio of outfielders—Red Gilbat, a reliable yet unpredictable player, Reddy Clammer, the flashy showman who seeks attention with theatrical plays, and Reddie Ray, an exceptional sprinter with impressive skills. As the Stars face off against their rivals, the Providence Grays, the tension mounts with the weight of the game resting on their shoulders. Amid the humorous antics and spirited competition, the narrative highlights the camaraderie and challenges within a uniquely spirited team dynamic, setting the stage for the tumultuous adventures that await. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,385,"Jan 1, 1996","Jan 1, 2021",Public domain in the USA.,100 downloads in the last 30 days.,"Fiction, Short stories, Baseball stories, American"
361,380,386,"Stevenson, Robert Louis, 1850-1894","Virginibus Puerisque, and Other Papers",Transcribed from the 1897 Chatto & Windus edition by David Price,"""Virginibus Puerisque, and Other Papers"" by Robert Louis Stevenson is a collection of essays written during the late 19th century. This work explores various themes surrounding youth, friendship, marriage, and the complexities of human emotions and relationships. Through Stevenson's reflective and often humorous prose, readers are invited to contemplate societal conventions and personal experiences related to love and companionship.  The opening portion of the work delves deeply into the topic of marriage, contrasting the attitudes of Shakespeare’s time with modern perspectives on matrimony. Stevenson examines the fears and uncertainties modern individuals face regarding marriage, likening it to a fear of death. He discusses the precarious nature of friendships and the social pressures surrounding marriage, ultimately reflecting on the compromises and challenges that come with intimate relationships. By analyzing couples, their choices, and the peculiar sentimentality that surrounds love, the beginning of the collection effectively sets the stage for a broader philosophical discussion on the nature of human connections. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,386,"Jan 1, 1996","Nov 6, 2012",Public domain in the USA.,141 downloads in the last 30 days.,Essays
362,381,387,"Stevenson, Robert Louis, 1850-1894","Vailima LettersBeing Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894",Transcribed from the 1908 Methuen edition by David Price,"""Vailima Letters"" by Robert Louis Stevenson is a collection of correspondences written during the late 19th century. The letters mainly convey Stevenson's reflections and experiences while living in the South Sea islands of Samoa, particularly focusing on his new life as a planter and writer, where he shares both the beauty of the tropical landscapes and the challenges that come with settling in a foreign land.  At the start of the work, Stevenson writes to his friend Sidney Colvin, offering a vivid and detailed account of his daily life, including his struggles with farming, the management of his household, and his creative writing endeavors. He describes encounters with local Samoans, observations on their culture, and the interplay of domestic tasks and literary pursuits, all set against the backdrop of the lush and sometimes challenging environment of Vailima. These initial letters hint at a blend of personal, political, and social themes that will provide a rich exploration of both his external circumstances and internal thoughts throughout the correspondence. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,387,"Jan 1, 1996","Feb 19, 2013",Public domain in the USA.,126 downloads in the last 30 days.,"Stevenson, Robert Louis, 1850-1894 -- Correspondence, Authors, Scottish -- 19th century -- Correspondence, Stevenson, Robert Louis, 1850-1894 -- Travel -- Samoan Islands, Colvin, Sidney, 1845-1927 -- Correspondence"
363,382,388,"Churchill, Winston, 1871-1947",The Crossing,"Produced by Charles Keller, David Widger, and Robert Homa","""The Crossing"" by Winston Churchill is a historical novel likely written in the early 20th century. The story unfolds against the backdrop of the American frontier during the period of westward expansion, focusing on young Davy Trimble and his father, Alec, who find themselves on the cusp of adventure and conflict as they navigate their lives in the Appalachian wilderness. The novel hints at themes of exploration, survival, and the tumultuous relationships between settlers and Native Americans during a time of significant change in America.  The opening portion introduces readers to Davy Trimble, who recounts his childhood in a rustic cabin under the Blue Ridge Mountains in North Carolina. Surrounded by the beauty and danger of the wild, Davy's relationship with his stoic and mysterious father shapes his understanding of the world. After a fateful encounter with the legendary frontiersman Daniel Boone, Davy begins to develop dreams of exploring the land that lies beyond the mountains. As news of wars and conflicts reaches their isolated home, Davy's childhood innocence is intertwined with the stark realities of growing up during a time of uncertainty and impending change, setting the stage for Davy's journey into adulthood. (This is an automatically generated summary.)",English,PS: Language and Literatures: American and Canadian literature,Text,388,"Oct 19, 2004","Jan 1, 2021",Public domain in the USA.,143 downloads in the last 30 days.,"Historical fiction, Frontier and pioneer life -- Fiction, Louisiana -- Fiction, Clark, George Rogers, 1752-1818 -- Fiction"
364,383,389,"Machen, Arthur, 1863-1947",The Great God Pan,Brandi Weed. HTML version by Al Haines.,"""The Great God Pan"" by Arthur Machen is a horror novella written in the late 19th century. The story examines themes of scientific exploration and the mysterious boundaries between the physical and spiritual realms, following Dr. Raymond and his companion Clarke as they embark on a radical experiment involving a girl named Mary who is to be subjected to an operation meant to reveal the existence of the supernatural.  The beginning of the novella introduces readers to Dr. Raymond, an ambitious scientist, and his apprehensive friend Clarke, who has come to witness a controversial experiment. Dr. Raymond believes he can lift the veil between the material world and a deeper spiritual reality through a surgical procedure. As they prepare for the operation on Mary, there is a palpable tension, and the air thickens with anticipation of what might unfold. The opening portion sets the stage for an eerie exploration of both enlightenment and terror, hinting at the catastrophic consequences of their quest for knowledge as it ultimately leads to a harrowing and tragic outcome. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,389,"Jan 1, 1996","Nov 9, 2021",Public domain in the USA.,1304 downloads in the last 30 days.,"Horror tales, Paranormal fiction"
365,384,390,"Cranmer-Byng, L. (Launcelot), 1872-1945",A Lute of Jade : Selections from the Classical Poets of China,,"""A Lute of Jade: Selections from the Classical Poets of China"" by L. Cranmer-Byng is a collection of Chinese poetry rendered in English, likely compiled in the early 20th century. This anthology focuses on selections from renowned classical poets, particularly those from the illustrious Tang dynasty, which is widely regarded as the golden age of Chinese literature. The book explores themes of love, sadness, nature, and the profound philosophies of existence as expressed through the rich tapestry of Chinese verse.  The beginning of ""A Lute of Jade"" presents an introduction that sets the stage for an exploration of Chinese poetry through historical context. It discusses the evolution of verse from ancient times, highlighting the transition into the celebrated works of the Tang dynasty. Cranmer-Byng notes the significance of poets like Li Po and Tu Fu, delving into their emotions and experiences, often intertwined with the turbulence of political realities, personal heartbreaks, and the beauty of nature. Through insights into the poetic form and the cultural influences shaping Chinese literature, the opening of the book invites readers to appreciate the depth and artistry of these classical voices, suggesting that the poems can resonate with both the heart and the mind. (This is an automatically generated summary.)",English,"PL: Language and Literatures: Languages and literatures of Eastern Asia, Africa, Oceania",Text,390,"Jan 1, 1996","Apr 1, 2015",Public domain in the USA.,87 downloads in the last 30 days.,Chinese poetry -- Translations into English
366,385,391,,The Song of Roland,Produced by Douglas B. Killings and R. J. Maley,"""The Song of Roland"" by C. K. Scott-Moncrieff is an epic poem originally composed in Old French, likely in the middle 11th century. This monumental work captures the themes of loyalty, bravery, and the relentless nature of battle, revolving around the famed knight Roland, who serves under King Charlemagne during his military campaigns in Spain. The narrative sets the stage for a legendary conflict between the Franks and the Saracens, encapsulating the valor and tragic downfall of its heroes.  The opening of the text introduces the backdrop of Charlemagne's conquest of Spain, focusing on the impending doom of King Marsile, who feels cornered by the Frankish forces. It highlights the scheming of the pagan envoy Blancandrin, who proposes deceitful plans against the Christians. As the story unfolds, we meet key figures, including Marsile, Roland, and Oliver, who are embroiled in conflict and treachery. The lines reflect a tense diplomatic atmosphere before the inevitable clash of arms, showcasing themes of loyalty amid betrayal as Roland prepares to face overwhelming odds, setting the tone for the epic battles to come. (This is an automatically generated summary.)",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",Text,391,"Jan 1, 1996","Jan 1, 2021",Public domain in the USA.,484 downloads in the last 30 days.,"Roland (Legendary character) -- Romances, Epic poetry, French -- Translations into English"
367,386,392,"Tasso, Torquato, 1544-1595",Jerusalem Delivered,Douglas B. Killings,"""Jerusalem Delivered"" by Torquato Tasso is an epic poem written during the late 16th century. The narrative centers around the First Crusade as Christian knights, led by the noble Godfrey of Bouillon, strive to reclaim Jerusalem from Muslim control, filled with themes of valor, divine intervention, and the struggle between good and evil. The characters introduced include Godfrey, who is chosen as the leader of the crusaders, alongside his peers and notable figures such as Tancred and Baldwin, each representing distinct virtues and flaws amidst the larger conflict.  At the start of the epic, Godfrey receives a divine message through the angel Gabriel, urging him to take action against the oppressive forces holding Jerusalem captive. As the Christian lords gather, they express their collective commitment to the cause, emphasizing themes of unity and courage in the face of adversity. The opening portion depicts Godfrey rallying his troops, while the narrative intricately weaves in reflections on morality, heroism, and the grave responsibilities that come with leadership. Characters like Tancred are introduced, hinting at personal rivalries and romantic entanglements that will further complicate the unfolding saga. The stage is set for an epic clash between valorous Christians and the formidable defenses of the city of Jerusalem. (This is an automatically generated summary.)",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",Text,392,"Jan 1, 1996","Aug 26, 2021",Public domain in the USA.,245 downloads in the last 30 days.,"Godfrey, of Bouillon, approximately 1060-1100 -- Poetry, Epic poetry, Italian -- Translations into English, Crusades -- First, 1096-1099 -- Poetry, Jerusalem -- History -- Latin Kingdom, 1099-1244 -- Poetry"
368,387,393,"Stacpoole, H. De Vere (Henry De Vere), 1863-1951",The Blue Lagoon: A Romance,Produced by Edward A. Malone.  Corrections by Roger Frank.,"""The Blue Lagoon: A Romance"" by H. De Vere Stacpoole is a novel written during the late 19th century. The story revolves around the adventures of two children, Emmeline and Dick, as they navigate life and survival after being cast away on a deserted tropical island, following a catastrophic event on a ship. The book explores themes of innocence, the beauty of nature, and the complexities of childhood as they encounter various challenges in their new environment.  The opening of the novel presents a rich tapestry of characters aboard the ship, including Mr. Button, a colorful sailor, and Arthur Lestrange, a sickly man traveling with his children, Emmeline and Dick. As the narrative unfolds, it details the atmosphere on the ship, portraying sailor life filled with camaraderie and mythology. However, tensions rise as the ship faces a dire fire situation, leading to the eventual separation of the characters when Mr. Lestrange ensures the safety of the children, setting the stage for their journey into the unknown. Ultimately, this section draws readers into a world of anticipation and adventure, hinting at the challenges and growth that lie ahead for the young protagonists. (This is an automatically generated summary.)",English,PR: Language and Literatures: English literature,Text,393,"Jan 1, 1996","Sep 5, 2016",Public domain in the USA.,220 downloads in the last 30 days.,"Islands -- Fiction, Love stories, Bildungsromans, Castaways -- Fiction"
